RUN	KeycloakLoginSimulator	keycloakloginsimulator	1591938312879	 	3.3.1
REQUEST	37		First unauthenticated request	1591938322980	1591938323655	OK	 
USER	Users	40	START	1591938323729	1591938323729
REQUEST	35		Login for basic user	1591938323093	1591938323786	OK	 
REQUEST	30		Logout realm admin	1591938323567	1591938323847	OK	 
USER	Users	30	END	1591938321279	1591938323848
REQUEST	34		Logout basic user	1591938323600	1591938323856	OK	 
REQUEST	36		Login for basic user	1591938323287	1591938323911	OK	 
REQUEST	26		Second unauthenticated request	1591938323454	1591938323934	OK	 
REQUEST	21		Logout realm admin	1591938323310	1591938323947	OK	 
REQUEST	31		Second unauthenticated request	1591938323656	1591938323947	OK	 
USER	Users	21	END	1591938319233	1591938323948
REQUEST	38		First unauthenticated request	1591938323229	1591938323948	OK	 
REQUEST	35		Logout basic user	1591938323788	1591938323957	OK	 
REQUEST	39		First unauthenticated request	1591938323479	1591938323957	OK	 
REQUEST	22		Second unauthenticated request	1591938323630	1591938323960	OK	 
USER	Users	41	START	1591938323981	1591938323981
REQUEST	32		Login for realm admin	1591938323434	1591938323987	OK	 
REQUEST	40		First unauthenticated request	1591938323730	1591938324132	OK	 
REQUEST	36		Logout basic user	1591938323912	1591938324139	OK	 
REQUEST	35		Second unauthenticated request	1591938323959	1591938324139	OK	 
REQUEST	32		Logout realm admin	1591938323987	1591938324141	OK	 
USER	Users	32	END	1591938321723	1591938324143
USER	Users	42	START	1591938324229	1591938324229
REQUEST	34		Second unauthenticated request	1591938323858	1591938324231	OK	 
USER	Users	43	START	1591938324483	1591938324483
REQUEST	40		Login for basic user	1591938324135	1591938324495	OK	 
REQUEST	41		First unauthenticated request	1591938323982	1591938324534	OK	 
REQUEST	40		Logout basic user	1591938324496	1591938324592	OK	 
REQUEST	36		Second unauthenticated request	1591938324141	1591938324632	OK	 
REQUEST	39		Login for basic user	1591938323960	1591938324638	OK	 
REQUEST	42		First unauthenticated request	1591938324230	1591938324711	OK	 
REQUEST	35		Login for realm admin	1591938324141	1591938324732	OK	 
REQUEST	40		Second unauthenticated request	1591938324593	1591938324739	OK	 
USER	Users	44	START	1591938324743	1591938324743
REQUEST	37		Login for basic user	1591938323656	1591938324936	OK	 
USER	Users	45	START	1591938324989	1591938324989
REQUEST	35		Logout realm admin	1591938324733	1591938325065	OK	 
REQUEST	43		First unauthenticated request	1591938324484	1591938325065	OK	 
USER	Users	35	END	1591938322470	1591938325066
REQUEST	24		Login for realm admin	1591938323315	1591938325097	OK	 
REQUEST	41		Login for basic user	1591938324535	1591938325128	OK	 
REQUEST	37		Logout basic user	1591938324936	1591938325139	OK	 
REQUEST	42		Login for basic user	1591938324712	1591938325181	OK	 
REQUEST	44		First unauthenticated request	1591938324744	1591938325241	OK	 
USER	Users	46	START	1591938325243	1591938325243
REQUEST	39		Logout basic user	1591938324639	1591938325336	OK	 
REQUEST	42		Logout basic user	1591938325182	1591938325342	OK	 
REQUEST	43		Login for basic user	1591938325066	1591938325346	OK	 
REQUEST	36		Login for realm admin	1591938324634	1591938325396	OK	 
REQUEST	40		Login for realm admin	1591938324740	1591938325401	OK	 
REQUEST	37		Second unauthenticated request	1591938325140	1591938325438	OK	 
REQUEST	41		Logout basic user	1591938325128	1591938325473	OK	 
REQUEST	45		First unauthenticated request	1591938324989	1591938325473	OK	 
REQUEST	42		Second unauthenticated request	1591938325343	1591938325474	OK	 
USER	Users	47	START	1591938325491	1591938325491
REQUEST	24		Logout realm admin	1591938325097	1591938325537	OK	 
USER	Users	24	END	1591938319983	1591938325538
REQUEST	33		Login for realm admin	1591938323351	1591938325603	OK	 
REQUEST	39		Second unauthenticated request	1591938325337	1591938325667	OK	 
REQUEST	44		Login for basic user	1591938325243	1591938325723	OK	 
USER	Users	48	START	1591938325732	1591938325732
REQUEST	43		Logout basic user	1591938325347	1591938325764	OK	 
REQUEST	22		Login for realm admin	1591938323961	1591938325800	OK	 
REQUEST	46		First unauthenticated request	1591938325244	1591938325842	OK	 
REQUEST	36		Logout realm admin	1591938325397	1591938325865	OK	 
USER	Users	36	END	1591938322729	1591938325866
REQUEST	38		Login for basic user	1591938323950	1591938325903	OK	 
USER	Users	49	START	1591938325983	1591938325983
REQUEST	40		Logout realm admin	1591938325402	1591938326050	OK	 
REQUEST	47		First unauthenticated request	1591938325492	1591938326050	OK	 
USER	Users	40	END	1591938323729	1591938326051
REQUEST	33		Logout realm admin	1591938325604	1591938326052	OK	 
USER	Users	33	END	1591938321974	1591938326053
REQUEST	26		Login for realm admin	1591938323936	1591938326112	OK	 
REQUEST	45		Login for basic user	1591938325475	1591938326112	OK	 
REQUEST	31		Login for realm admin	1591938323949	1591938326113	OK	 
REQUEST	42		Login for realm admin	1591938325475	1591938326114	OK	 
REQUEST	41		Second unauthenticated request	1591938325473	1591938326114	OK	 
REQUEST	34		Login for realm admin	1591938324234	1591938326126	OK	 
REQUEST	44		Logout basic user	1591938325723	1591938326127	OK	 
REQUEST	43		Second unauthenticated request	1591938325764	1591938326152	OK	 
REQUEST	48		First unauthenticated request	1591938325733	1591938326156	OK	 
REQUEST	39		Login for realm admin	1591938325668	1591938326210	OK	 
USER	Users	50	START	1591938326233	1591938326233
REQUEST	22		Logout realm admin	1591938325801	1591938326249	OK	 
USER	Users	22	END	1591938319484	1591938326250
REQUEST	42		Logout realm admin	1591938326115	1591938326364	OK	 
USER	Users	42	END	1591938324229	1591938326365
REQUEST	38		Logout basic user	1591938325904	1591938326429	OK	 
REQUEST	26		Logout realm admin	1591938326113	1591938326431	OK	 
USER	Users	26	END	1591938320481	1591938326433
REQUEST	31		Logout realm admin	1591938326114	1591938326435	OK	 
USER	Users	31	END	1591938321482	1591938326436
REQUEST	49		First unauthenticated request	1591938325984	1591938326480	OK	 
USER	Users	51	START	1591938326484	1591938326484
REQUEST	44		Second unauthenticated request	1591938326128	1591938326628	OK	 
REQUEST	47		Login for basic user	1591938326052	1591938326638	OK	 
REQUEST	45		Logout basic user	1591938326113	1591938326664	OK	 
REQUEST	50		First unauthenticated request	1591938326233	1591938326676	OK	 
REQUEST	34		Logout realm admin	1591938326127	1591938326681	OK	 
USER	Users	34	END	1591938322222	1591938326682
REQUEST	37		Login for realm admin	1591938325440	1591938326687	OK	 
USER	Users	52	START	1591938326694	1591938326694
REQUEST	46		Login for basic user	1591938325843	1591938326770	OK	 
REQUEST	38		Second unauthenticated request	1591938326431	1591938326769	OK	 
REQUEST	39		Logout realm admin	1591938326210	1591938326869	OK	 
USER	Users	39	END	1591938323479	1591938326869
USER	Users	53	START	1591938326892	1591938326892
REQUEST	45		Second unauthenticated request	1591938326665	1591938326985	OK	 
REQUEST	51		First unauthenticated request	1591938326484	1591938327062	OK	 
USER	Users	54	START	1591938327092	1591938327092
REQUEST	41		Login for realm admin	1591938326115	1591938327126	OK	 
REQUEST	52		First unauthenticated request	1591938326695	1591938327162	OK	 
REQUEST	43		Login for realm admin	1591938326154	1591938327239	OK	 
USER	Users	55	START	1591938327289	1591938327289
REQUEST	49		Login for basic user	1591938326481	1591938327343	OK	 
REQUEST	43		Logout realm admin	1591938327241	1591938327366	OK	 
USER	Users	43	END	1591938324483	1591938327367
REQUEST	53		First unauthenticated request	1591938326893	1591938327410	OK	 
REQUEST	49		Logout basic user	1591938327343	1591938327433	OK	 
REQUEST	47		Logout basic user	1591938326638	1591938327440	OK	 
REQUEST	37		Logout realm admin	1591938326688	1591938327440	OK	 
USER	Users	37	END	1591938322979	1591938327441
REQUEST	46		Logout basic user	1591938326773	1591938327443	OK	 
USER	Users	56	START	1591938327489	1591938327489
REQUEST	48		Login for basic user	1591938326158	1591938327493	OK	 
REQUEST	50		Login for basic user	1591938326677	1591938327494	OK	 
REQUEST	45		Login for realm admin	1591938326988	1591938327494	OK	 
REQUEST	49		Second unauthenticated request	1591938327433	1591938327556	OK	 
REQUEST	45		Logout realm admin	1591938327495	1591938327581	OK	 
USER	Users	45	END	1591938324989	1591938327581
REQUEST	53		Login for basic user	1591938327412	1591938327597	OK	 
REQUEST	44		Login for realm admin	1591938326630	1591938327620	OK	 
REQUEST	41		Logout realm admin	1591938327127	1591938327644	OK	 
USER	Users	41	END	1591938323981	1591938327645
REQUEST	54		First unauthenticated request	1591938327092	1591938327646	OK	 
REQUEST	47		Second unauthenticated request	1591938327441	1591938327648	OK	 
REQUEST	53		Logout basic user	1591938327598	1591938327689	OK	 
REQUEST	55		First unauthenticated request	1591938327290	1591938327734	OK	 
USER	Users	57	START	1591938327741	1591938327741
REQUEST	53		Second unauthenticated request	1591938327689	1591938327876	OK	 
REQUEST	49		Login for realm admin	1591938327557	1591938327972	OK	 
REQUEST	38		Login for realm admin	1591938326773	1591938327987	OK	 
USER	Users	58	START	1591938327989	1591938327989
REQUEST	46		Second unauthenticated request	1591938327443	1591938327998	OK	 
REQUEST	56		First unauthenticated request	1591938327489	1591938328081	OK	 
REQUEST	52		Login for basic user	1591938327163	1591938328099	OK	 
REQUEST	38		Logout realm admin	1591938327988	1591938328139	OK	 
USER	Users	38	END	1591938323229	1591938328140
REQUEST	48		Logout basic user	1591938327493	1591938328163	OK	 
REQUEST	49		Logout realm admin	1591938327972	1591938328167	OK	 
USER	Users	49	END	1591938325983	1591938328168
REQUEST	51		Login for basic user	1591938327063	1591938328195	OK	 
REQUEST	50		Logout basic user	1591938327495	1591938328230	OK	 
USER	Users	59	START	1591938328239	1591938328239
REQUEST	57		First unauthenticated request	1591938327742	1591938328243	OK	 
REQUEST	44		Logout realm admin	1591938327621	1591938328277	OK	 
USER	Users	44	END	1591938324743	1591938328278
REQUEST	54		Login for basic user	1591938327647	1591938328302	OK	 
REQUEST	47		Login for realm admin	1591938327649	1591938328325	OK	 
REQUEST	55		Login for basic user	1591938327735	1591938328340	OK	 
REQUEST	58		First unauthenticated request	1591938327989	1591938328393	OK	 
REQUEST	48		Second unauthenticated request	1591938328163	1591938328442	OK	 
REQUEST	52		Logout basic user	1591938328101	1591938328445	OK	 
REQUEST	54		Logout basic user	1591938328303	1591938328465	OK	 
REQUEST	47		Logout realm admin	1591938328326	1591938328465	OK	 
REQUEST	55		Logout basic user	1591938328341	1591938328465	OK	 
USER	Users	47	END	1591938325491	1591938328466
USER	Users	60	START	1591938328492	1591938328492
